timestamp,ambient_temp,ambient_humidity,ambient_pressure,coating_flow,coating_conc,coating_temp,coating_pressure,rotor_speed,adsorption_fan_power,desorption_fan_power,rotor_inlet_temp,rotor_inlet_humid,desorption_temp,concentrated_flow,concentrated_conc,concentrated_temp,concentrated_pressure,rto_in_flow,rto_in_conc,rto_in_temp,rto_in_pressure,burner_gas_flow,combustion_temp,rto_out_conc,rto_out_temp
2024-01-01 00:00:00,21.5,65.3,101.3,8500.5,95.2,25.3,101.2,4.75,42.5,3.2,26.1,64.8,205.3,850.2,420.5,185.2,101.5,1000.3,415.2,185.1,101.4,32.5,757.8,18.5,62.3
2024-01-01 00:01:00,21.6,65.1,101.3,8502.3,95.8,25.4,101.2,4.76,42.6,3.2,26.2,64.9,205.4,851.5,421.3,185.3,101.5,1001.2,416.1,185.2,101.4,32.6,758.1,18.6,62.4
2024-01-01 00:02:00,21.7,64.9,101.3,8505.1,96.3,25.5,101.2,4.77,42.8,3.2,26.3,64.7,205.5,852.8,422.1,185.4,101.5,1002.1,416.9,185.3,101.4,32.7,758.4,18.7,62.5
2024-01-01 00:03:00,21.8,64.8,101.3,8507.9,96.8,25.6,101.2,4.78,42.9,3.2,26.4,64.6,205.6,854.1,422.9,185.5,101.5,1003.0,417.7,185.4,101.4,32.8,758.7,18.8,62.6
2024-01-01 00:04:00,21.9,64.6,101.3,8510.7,97.3,25.7,101.2,4.79,43.1,3.2,26.5,64.5,205.7,855.4,423.7,185.6,101.5,1003.9,418.5,185.5,101.4,32.9,759.0,18.9,62.7
2024-01-01 00:05:00,22.0,64.5,101.3,8513.5,97.8,25.8,101.2,4.80,43.2,3.2,26.6,64.4,205.8,856.7,424.5,185.7,101.5,1004.8,419.3,185.6,101.4,33.0,759.3,19.0,62.8
2024-01-01 00:06:00,22.1,64.3,101.3,8516.3,98.3,25.9,101.2,4.81,43.4,3.2,26.7,64.3,205.9,858.0,425.3,185.8,101.5,1005.7,420.1,185.7,101.4,33.1,759.6,19.1,62.9
2024-01-01 00:07:00,22.2,64.2,101.3,8519.1,98.8,26.0,101.2,4.82,43.5,3.2,26.8,64.2,206.0,859.3,426.1,185.9,101.5,1006.6,420.9,185.8,101.4,33.2,759.9,19.2,63.0
2024-01-01 00:08:00,22.3,64.0,101.3,8521.9,99.3,26.1,101.2,4.83,43.7,3.2,26.9,64.1,206.1,860.6,426.9,186.0,101.5,1007.5,421.7,185.9,101.4,33.3,760.2,19.3,63.1
2024-01-01 00:09:00,22.4,63.9,101.3,8524.7,99.8,26.2,101.2,4.84,43.8,3.2,27.0,64.0,206.2,861.9,427.7,186.1,101.5,1008.4,422.5,186.0,101.4,33.4,760.5,19.4,63.2
