timestamp,ambient_temp,ambient_humidity,ambient_pressure,coating_flow,coating_conc,coating_temp,coating_pressure,rotor_speed,adsorption_fan_power,desorption_fan_power,rotor_inlet_temp,rotor_inlet_humid,desorption_temp,concentrated_flow,concentrated_conc,concentrated_temp,concentrated_pressure,rto_in_flow,rto_in_conc,rto_in_temp,rto_in_pressure,burner_gas_flow,combustion_temp,rto_out_conc,rto_out_temp
2026-04-18 15:54:00,21.0,60.0,101.3,8500.0,95.0,25.0,101.2,4.7,42.0,3.1,26.0,64.0,205.0,850.0,420.0,185.0,101.5,1000.0,415.0,185.0,101.4,32.0,758.0,18.0,62.0
2026-04-18 15:55:00,21.01,60.01,101.3,8501.0,95.02,25.01,101.2,4.7,42.0,3.1,26.0,64.0,205.0,850.0,420.0,185.0,101.5,1000.0,415.0,185.0,101.4,32.0,758.0,18.01,62.0
2026-04-18 15:56:00,21.02,60.02,101.3,8502.0,95.04,25.02,101.2,4.7,42.0,3.1,26.0,64.0,205.0,850.0,420.0,185.0,101.5,1000.0,415.0,185.0,101.4,32.0,758.0,18.02,62.0
2026-04-18 15:57:00,21.03,60.03,101.3,8503.0,95.06,25.03,101.2,4.7,42.0,3.1,26.0,64.0,205.0,850.0,420.0,185.0,101.5,1000.0,415.0,185.0,101.4,32.0,758.0,18.03,62.0
2026-04-18 15:58:00,21.04,60.04,101.3,8504.0,95.08,25.04,101.2,4.7,42.0,3.1,26.0,64.0,205.0,850.0,420.0,185.0,101.5,1000.0,415.0,185.0,101.4,32.0,758.0,18.04,62.0
2026-04-18 15:59:00,21.05,60.05,101.3,8505.0,95.1,25.05,101.2,4.7,42.0,3.1,26.0,64.0,205.0,850.0,420.0,185.0,101.5,1000.0,415.0,185.0,101.4,32.0,758.0,18.05,62.0
2026-04-18 16:00:00,21.06,60.06,101.3,8506.0,95.12,25.06,101.2,4.7,42.0,3.1,26.0,64.0,205.0,850.0,420.0,185.0,101.5,1000.0,415.0,185.0,101.4,32.0,758.0,18.06,62.0
2026-04-18 16:01:00,21.07,60.07,101.3,8507.0,95.14,25.07,101.2,4.7,42.0,3.1,26.0,64.0,205.0,850.0,420.0,185.0,101.5,1000.0,415.0,185.0,101.4,32.0,758.0,18.07,62.0
2026-04-18 16:02:00,21.08,60.08,101.3,8508.0,95.16,25.08,101.2,4.7,42.0,3.1,26.0,64.0,205.0,850.0,420.0,185.0,101.5,1000.0,415.0,185.0,101.4,32.0,758.0,18.08,62.0
2026-04-18 16:03:00,21.09,60.09,101.3,8509.0,95.18,25.09,101.2,4.7,42.0,3.1,26.0,64.0,205.0,850.0,420.0,185.0,101.5,1000.0,415.0,185.0,101.4,32.0,758.0,18.09,62.0
2026-04-18 16:04:00,21.1,60.1,101.3,8510.0,95.2,25.1,101.2,4.7,42.0,3.1,26.0,64.0,205.0,850.0,420.0,185.0,101.5,1000.0,415.0,185.0,101.4,32.0,758.0,18.1,62.0
2026-04-18 16:05:00,21.11,60.11,101.3,8511.0,95.22,25.11,101.2,4.7,42.0,3.1,26.0,64.0,205.0,850.0,420.0,185.0,101.5,1000.0,415.0,185.0,101.4,32.0,758.0,18.11,62.0
2026-04-18 16:06:00,21.12,60.12,101.3,8512.0,95.24,25.12,101.2,4.7,42.0,3.1,26.0,64.0,205.0,850.0,420.0,185.0,101.5,1000.0,415.0,185.0,101.4,32.0,758.0,18.12,62.0
2026-04-18 16:07:00,21.13,60.13,101.3,8513.0,95.26,25.13,101.2,4.7,42.0,3.1,26.0,64.0,205.0,850.0,420.0,185.0,101.5,1000.0,415.0,185.0,101.4,32.0,758.0,18.13,62.0
